"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","Login with Invalid email and password and get 400 and error message [3] LoginDto(email=jessenia.oconnell@gmail.com, password=wh1z0q31ur)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","213","Get user by id and returns 200 and valid user [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","139","Login with Invalid email and password and get 400 and error message [2] LoginDto(email=livia.waters@hotmail.com, password=f7nw67q9)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","218","Get user by id and returns 200 and valid user [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","165","Login with Missing password and get 400 and error message [2] LoginDto(email=oscar.leffler@yahoo.com, password=c40yx83cau8l3)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","136","Create user by valid body and returns 200 and valid user [3] UserDto(email=hui.thompson@hotmail.com, firstName=Noble, lastName=Carroll, avatar=https://picsum.photos/640/200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","215","Create user by valid body and returns 200 and valid user [1] UserDto(email=omer.kris@hotmail.com, firstName=Garfield, lastName=Boyle, avatar=https://picsum.photos/1600/1200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","240","Get users validPageable return 200 and user list [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","221","Get users validPageable return 200 and user list [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","224","Get user by id and returns 200 and valid user [3] 3","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","3024","Order Max Price and Min Price products","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.ui.test.LoginProductOrderUiTest","com.violetta.aqa.ui.test.LoginProductOrderUiTest","orderMinAndMaxPriceProducts"
"","137","Create user by valid body and returns 200 and valid user [2] UserDto(email=lillian.gutkowski@hotmail.com, firstName=Miguelina, lastName=Hessel, avatar=https://picsum.photos/640/480)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","228","Get user by id and returns 200 and valid user [4] 4","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","3999","Login with Missing password and get 400 and error message [1] LoginDto(email=colby.mcglynn@gmail.com, password=cb1r9ky0q1)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","156","Login with Valid email and password and get 200 and token","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_validEmailValidPassword_return200AndToken"
"","155","Login with Missing password and get 400 and error message [3] LoginDto(email=ezekiel.corkery@gmail.com, password=0v72o891220h75s)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","153","Login with Invalid email and password and get 400 and error message [1] LoginDto(email=mui.murazik@yahoo.com, password=1jz9mvzyfarwf28t)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
